Run,Iteration,agent-0,agent-1,agent-2
0,0,1,1,0
0,1,1,0,0
0,2,1,0,0
1,0,0,1,0
1,1,1,0,0
1,2,0,0,0
Run,Iteration,agent-0,agent-1,agent-2
0,0,1,1,0
0,1,1,0,0
0,2,1,0,0
1,0,0,1,0
1,1,1,0,0
1,2,0,0,0
Run,Iteration,agent-0,agent-1,agent-2
0,0,1,1,0
0,1,1,0,0
0,2,1,0,0
1,0,0,1,0
1,1,1,0,0
1,2,0,0,0
Run,Iteration,agent-0,agent-1,agent-2
0,0,1,1,0
0,1,1,0,0
0,2,1,0,0
1,0,0,1,0
1,1,1,0,0
1,2,0,0,0
Run,Iteration,agent-0,agent-1,agent-2
0,0,1,1,0
0,1,1,0,0
0,2,1,0,0
1,0,0,1,0
1,1,1,0,0
1,2,0,0,0
Run,Iteration,agent-0,agent-1,agent-2
0,0,1,1,0
0,1,1,0,0
0,2,1,0,0
1,0,0,1,0
1,1,1,0,0
1,2,0,0,0
Run,Iteration,agent-0,agent-1,agent-2
0,0,1,1,0
0,1,1,0,0
0,2,1,0,0
1,0,0,1,0
1,1,1,0,0
1,2,0,0,0
Run,Iteration,agent-0,agent-1,agent-2
0,0,1,1,0
0,1,1,0,0
0,2,1,0,0
1,0,0,1,0
1,1,1,0,0
1,2,0,0,0
Run,Iteration,agent-0,agent-1,agent-2
0,0,1,1,0
0,1,1,0,0
0,2,1,0,0
1,0,0,1,0
1,1,1,0,0
1,2,0,0,0
Run,Iteration,agent-0,agent-1,agent-2
0,0,1,1,0
0,1,1,0,0
0,2,1,0,0
1,0,0,1,0
1,1,1,0,0
1,2,0,0,0
Run,Iteration,agent-0,agent-1,agent-2
0,0,1,1,0
0,1,1,0,0
0,2,1,0,0
1,0,0,1,0
1,1,1,0,0
1,2,0,0,0
Run,Iteration,agent-0,agent-1,agent-2
0,0,1,1,0
0,1,1,0,0
0,2,1,0,0
1,0,0,1,0
1,1,1,0,0
1,2,0,0,0
Run,Iteration,agent-0,agent-1,agent-2
0,0,1,1,0
0,1,1,0,0
0,2,1,0,0
1,0,0,1,0
1,1,1,0,0
1,2,0,0,0
Run,Iteration,agent-0,agent-1,agent-2
0,0,1,1,0
0,1,1,0,0
0,2,1,0,0
1,0,0,1,0
1,1,1,0,0
1,2,0,0,0
Run,Iteration,agent-0,agent-1,agent-2
0,0,1,1,0
0,1,1,0,0
0,2,1,0,0
1,0,0,1,0
1,1,1,0,0
1,2,0,0,0
Run,Iteration,agent-0,agent-1,agent-2
0,0,1,1,0
0,1,1,0,0
0,2,1,0,0
1,0,0,1,0
1,1,1,0,0
1,2,0,0,0
Run,Iteration,agent-0,agent-1,agent-2
0,0,1,1,0
0,1,1,0,0
0,2,1,0,0
1,0,0,1,0
1,1,1,0,0
1,2,0,0,0
Run,Iteration,agent-0,agent-1,agent-2
0,0,1,1,0
0,1,1,0,0
0,2,1,0,0
1,0,0,1,0
1,1,1,0,0
1,2,0,0,0
Run,Iteration,agent-0,agent-1,agent-2
0,0,1,1,0
0,1,1,0,0
0,2,1,0,0
1,0,0,1,0
1,1,1,0,0
1,2,0,0,0
Run,Iteration,agent-0,agent-1,agent-2
0,0,1,1,0
0,1,1,0,0
0,2,1,0,0
1,0,0,1,0
1,1,1,0,0
1,2,0,0,0
Run,Iteration,agent-0,agent-1,agent-2
0,0,1,1,0
0,1,1,0,0
0,2,1,0,0
1,0,0,1,0
1,1,1,0,0
1,2,0,0,0
Run,Iteration,agent-0,agent-1,agent-2
0,0,1,1,0
0,1,1,0,0
0,2,1,0,0
1,0,0,1,0
1,1,1,0,0
1,2,0,0,0
Run,Iteration,agent-0,agent-1,agent-2
0,0,1,1,0
0,1,1,0,0
0,2,1,0,0
1,0,0,1,0
1,1,1,0,0
1,2,0,0,0
Run,Iteration,agent-0,agent-1,agent-2
0,0,1,1,0
0,1,1,0,0
0,2,1,0,0
1,0,0,1,0
1,1,1,0,0
1,2,0,0,0
Run,Iteration,agent-0,agent-1,agent-2
0,0,1,1,0
0,1,1,0,0
0,2,1,0,0
1,0,0,1,0
1,1,1,0,0
1,2,0,0,0
Run,Iteration,agent-0,agent-1,agent-2
0,0,1,1,0
0,1,1,0,0
0,2,1,0,0
1,0,0,1,0
1,1,1,0,0
1,2,0,0,0
Run,Iteration,agent-0,agent-1,agent-2
0,0,1,1,0
0,1,1,0,0
0,2,1,0,0
1,0,0,1,0
1,1,1,0,0
1,2,0,0,0
Run,Iteration,agent-0,agent-1,agent-2
0,0,1,1,0
0,1,1,0,0
0,2,1,0,0
1,0,0,1,0
1,1,1,0,0
1,2,0,0,0
Run,Iteration,agent-0,agent-1,agent-2
0,0,1,1,0
0,1,1,0,0
0,2,1,0,0
1,0,0,1,0
1,1,1,0,0
1,2,0,0,0
Run,Iteration,agent-0,agent-1,agent-2
0,0,1,1,0
0,1,1,0,0
0,2,1,0,0
1,0,0,1,0
1,1,1,0,0
1,2,0,0,0
Run,Iteration,agent-0,agent-1,agent-2
0,0,1,1,0
0,1,1,0,0
0,2,1,0,0
1,0,0,1,0
1,1,1,0,0
1,2,0,0,0
Run,Iteration,agent-0,agent-1,agent-2
0,0,1,1,0
0,1,1,0,0
0,2,1,0,0
1,0,0,1,0
1,1,1,0,0
1,2,0,0,0
Run,Iteration,agent-0,agent-1,agent-2
0,0,1,1,0
0,1,1,0,0
0,2,1,0,0
1,0,0,1,0
1,1,1,0,0
1,2,0,0,0
Run,Iteration,agent-0,agent-1,agent-2
0,0,1,1,0
0,1,1,0,0
0,2,1,0,0
1,0,0,1,0
1,1,1,0,0
1,2,0,0,0
Run,Iteration,agent-0,agent-1,agent-2
0,0,1,1,0
0,1,1,0,0
0,2,1,0,0
1,0,0,1,0
1,1,1,0,0
1,2,0,0,0
Run,Iteration,agent-0,agent-1,agent-2
0,0,1,1,0
0,1,1,0,0
0,2,1,0,0
1,0,0,1,0
1,1,1,0,0
1,2,0,0,0
Run,Iteration,agent-0,agent-1,agent-2
0,0,1,1,0
0,1,1,0,0
0,2,1,0,0
1,0,0,1,0
1,1,1,0,0
1,2,0,0,0
